ID,Data,Produto,Categoria,Quantidade,Preco
1,2023-04-13,Notebook,Eletrônicos,5,1758.1
2,2023-12-15,Teclado,Acessórios,7,3190.04
3,2023-09-28,Monitor,Eletrônicos,7,3419.49
4,2023-04-17,Teclado,Acessórios,9,2678.13
5,2023-03-13,Monitor,Eletrônicos,3,2266.53
6,2023-07-08,Monitor,Eletrônicos,7,2980.8736363636363
7,2023-01-21,Teclado,Acessórios,1,2983.85
8,2023-04-13,Headset,Acessórios,4,450.22
9,2023-05-02,Monitor,Eletrônicos,4,1879.79
10,2023-08-03,Monitor,Eletrônicos,5,1248.69
11,2023-11-27,Teclado,Acessórios,7,4025.54
12,2023-03-29,Monitor,Eletrônicos,7,2377.99
13,2023-04-10,Monitor,Eletrônicos,4,4917.94
14,2023-12-26,Teclado,Acessórios,7,2024.18
15,2023-06-01,Teclado,Acessórios,3,4091.34
16,2023-05-11,Notebook,Eletrônicos,6,4001.81
17,2023-05-30,Headset,Acessórios,2,796.05
18,2023-11-05,Headset,Acessórios,9,2565.58
19,2023-09-15,Monitor,Eletrônicos,5,3494.27
20,2023-12-10,Headset,Acessórios,6,4298.88
21,2023-10-21,Monitor,Eletrônicos,4,1663.5
22,2023-07-11,Notebook,Eletrônicos,7,1140.19
23,2023-10-04,Teclado,Acessórios,9,3570.19
24,2023-06-10,Teclado,Acessórios,7,4057.03
25,2023-11-10,Teclado,Acessórios,1,1775.9
26,2023-01-22,Headset,Acessórios,1,526.07
27,2023-09-10,Notebook,Eletrônicos,9,4705.59
28,2023-08-24,Headset,Acessórios,9,2017.98
29,2023-12-11,Headset,Acessórios,4,2612.87
30,2023-02-18,Notebook,Eletrônicos,9,4196.67
31,2023-02-28,Notebook,Eletrônicos,3,3394.67
32,2023-06-19,Notebook,Eletrônicos,7,3689.32
33,2023-07-07,Notebook,Eletrônicos,6,1084.9
34,2023-09-28,Teclado,Acessórios,8,2730.17
35,2023-07-09,Mouse,Acessórios,9,3494.13
36,2023-06-24,Mouse,Acessórios,5,1181.32
37,2023-02-20,Notebook,Eletrônicos,1,916.03
38,2023-12-30,Mouse,Acessórios,3,4911.73
39,2023-02-24,Mouse,Acessórios,8,2607.35
40,2023-09-01,Notebook,Eletrônicos,6,1341.1
41,2023-11-16,Mouse,Acessórios,8,4981.46
42,2023-05-11,Headset,Acessórios,9,4828.83
43,2023-11-03,Monitor,Eletrônicos,4,2813.55
44,2023-05-15,Monitor,Eletrônicos,1,4419.05
45,2023-01-21,Notebook,Eletrônicos,1,984.1
46,2023-11-25,Teclado,Acessórios,4,1430.41
47,2023-06-16,Notebook,Eletrônicos,7,3516.77
48,2023-10-01,Teclado,Acessórios,2,4240.97
49,2023-03-30,Monitor,Eletrônicos,3,4288.81
50,2023-11-12,Notebook,Eletrônicos,1,2052.32
51,2023-01-14,Headset,Acessórios,5,4444.46
52,2023-08-30,Mouse,Acessórios,1,4262.1
53,2023-09-22,Teclado,Acessórios,8,4681.39
54,2023-12-12,Mouse,Acessórios,1,3937.44
55,2023-02-22,Mouse,Acessórios,1,3361.49
56,2023-12-06,Notebook,Eletrônicos,2,2924.4
57,2023-04-02,Mouse,Acessórios,2,1892.8
58,2023-09-21,Headset,Acessórios,6,4703.66
59,2023-02-04,Mouse,Acessórios,7,4869.64
60,2023-07-25,Notebook,Eletrônicos,5,1455.41
